01 Mertens                  George                   0   4   1 2 3 4    0   
02 Kowal                    Simon                    0   7   1 2 3 4 5 7 8    1   10
03 Berg                     Adam                     0   5   1 2 3 5 6    0   
04 Smith                    John                     0   4   1 2 7 8    1   5
05 Brown                    Donald                   1   2   2 5   3  1 3 5 
06 Dupont                   Ghislain                 1   1   3   2  2 4 
07 Peeters                  Nicolas                  1   1   4   0  
08 Janssens                 Stephanie                1   2   7 8   0  
09 Willems                  Jean                     1   1   1   0  
10 Goossens                 Pierre                   1   2   5 6   0  
